cards,players,position,stack_min,stack_max,result
aa,3,BTN,0,9,ALLIN
aks,3,BTN,0,9,ALLIN
aqs,3,BTN,0,9,ALLIN
ajs,3,BTN,0,9,ALLIN
ats,3,BTN,0,9,ALLIN
a9s,3,BTN,0,9,ALLIN
a8s,3,BTN,0,9,ALLIN
a7s,3,BTN,0,9,ALLIN
a6s,3,BTN,0,9,ALLIN
a5s,3,BTN,0,9,ALLIN
a4s,3,BTN,0,9,ALLIN
a3s,3,BTN,0,9,ALLIN
a2s,3,BTN,0,9,ALLIN
ako,3,BTN,0,9,ALLIN
kk,3,BTN,0,9,ALLIN
kqs,3,BTN,0,9,ALLIN
kjs,3,BTN,0,9,ALLIN
kts,3,BTN,0,9,ALLIN
k9s,3,BTN,0,9,ALLIN
k8s,3,BTN,0,9,ALLIN
k7s,3,BTN,0,9,FOLD
k6s,3,BTN,0,9,FOLD
k5s,3,BTN,0,9,FOLD
k4s,3,BTN,0,9,FOLD
k3s,3,BTN,0,9,FOLD
k2s,3,BTN,0,9,FOLD
aqo,3,BTN,0,9,ALLIN
kqo,3,BTN,0,9,ALLIN
qq,3,BTN,0,9,ALLIN
qjs,3,BTN,0,9,ALLIN
qts,3,BTN,0,9,ALLIN
q9s,3,BTN,0,9,ALLIN
q8s,3,BTN,0,9,ALLIN
q7s,3,BTN,0,9,FOLD
q6s,3,BTN,0,9,FOLD
q5s,3,BTN,0,9,FOLD
q4s,3,BTN,0,9,FOLD
q3s,3,BTN,0,9,FOLD
q2s,3,BTN,0,9,FOLD
ajo,3,BTN,0,9,ALLIN
kjo,3,BTN,0,9,ALLIN
qjo,3,BTN,0,9,ALLIN
jj,3,BTN,0,9,ALLIN
jts,3,BTN,0,9,ALLIN
j9s,3,BTN,0,9,ALLIN
j8s,3,BTN,0,9,ALLIN
j7s,3,BTN,0,9,FOLD
j6s,3,BTN,0,9,FOLD
j5s,3,BTN,0,9,FOLD
j4s,3,BTN,0,9,FOLD
j3s,3,BTN,0,9,FOLD
j2s,3,BTN,0,9,FOLD
ato,3,BTN,0,9,ALLIN
kto,3,BTN,0,9,ALLIN
qto,3,BTN,0,9,ALLIN
jto,3,BTN,0,9,ALLIN
tt,3,BTN,0,9,ALLIN
t9s,3,BTN,0,9,ALLIN
t8s,3,BTN,0,9,ALLIN
t7s,3,BTN,0,9,FOLD
t6s,3,BTN,0,9,FOLD
t5s,3,BTN,0,9,FOLD
t4s,3,BTN,0,9,FOLD
t3s,3,BTN,0,9,FOLD
t2s,3,BTN,0,9,FOLD
a9o,3,BTN,0,9,ALLIN
k9o,3,BTN,0,9,FOLD
q9o,3,BTN,0,9,FOLD
j9o,3,BTN,0,9,FOLD
t9o,3,BTN,0,9,FOLD
99,3,BTN,0,9,ALLIN
98s,3,BTN,0,9,ALLIN
97s,3,BTN,0,9,FOLD
96s,3,BTN,0,9,FOLD
95s,3,BTN,0,9,FOLD
94s,3,BTN,0,9,FOLD
93s,3,BTN,0,9,FOLD
92s,3,BTN,0,9,FOLD
a8o,3,BTN,0,9,ALLIN
k8o,3,BTN,0,9,FOLD
q8o,3,BTN,0,9,FOLD
j8o,3,BTN,0,9,FOLD
t8o,3,BTN,0,9,FOLD
98o,3,BTN,0,9,FOLD
88,3,BTN,0,9,ALLIN
87s,3,BTN,0,9,FOLD
86s,3,BTN,0,9,FOLD
85s,3,BTN,0,9,FOLD
84s,3,BTN,0,9,FOLD
83s,3,BTN,0,9,FOLD
82s,3,BTN,0,9,FOLD
a7o,3,BTN,0,9,ALLIN
k7o,3,BTN,0,9,FOLD
q7o,3,BTN,0,9,FOLD
j7o,3,BTN,0,9,FOLD
t7o,3,BTN,0,9,FOLD
97o,3,BTN,0,9,FOLD
87o,3,BTN,0,9,FOLD
77,3,BTN,0,9,ALLIN
76s,3,BTN,0,9,FOLD
75s,3,BTN,0,9,FOLD
74s,3,BTN,0,9,FOLD
73s,3,BTN,0,9,FOLD
72s,3,BTN,0,9,FOLD
a6o,3,BTN,0,9,ALLIN
k6o,3,BTN,0,9,FOLD
q6o,3,BTN,0,9,FOLD
j6o,3,BTN,0,9,FOLD
t6o,3,BTN,0,9,FOLD
96o,3,BTN,0,9,FOLD
86o,3,BTN,0,9,FOLD
76o,3,BTN,0,9,FOLD
66,3,BTN,0,9,ALLIN
65s,3,BTN,0,9,FOLD
64s,3,BTN,0,9,FOLD
63s,3,BTN,0,9,FOLD
62s,3,BTN,0,9,FOLD
a5o,3,BTN,0,9,ALLIN
k5o,3,BTN,0,9,FOLD
q5o,3,BTN,0,9,FOLD
j5o,3,BTN,0,9,FOLD
t5o,3,BTN,0,9,FOLD
95o,3,BTN,0,9,FOLD
85o,3,BTN,0,9,FOLD
75o,3,BTN,0,9,FOLD
65o,3,BTN,0,9,FOLD
55,3,BTN,0,9,ALLIN
54s,3,BTN,0,9,FOLD
53s,3,BTN,0,9,FOLD
52s,3,BTN,0,9,FOLD
a4o,3,BTN,0,9,ALLIN
k4o,3,BTN,0,9,FOLD
q4o,3,BTN,0,9,FOLD
j4o,3,BTN,0,9,FOLD
t4o,3,BTN,0,9,FOLD
94o,3,BTN,0,9,FOLD
84o,3,BTN,0,9,FOLD
74o,3,BTN,0,9,FOLD
64o,3,BTN,0,9,FOLD
54o,3,BTN,0,9,FOLD
44,3,BTN,0,9,ALLIN
43s,3,BTN,0,9,FOLD
42s,3,BTN,0,9,FOLD
a3o,3,BTN,0,9,ALLIN
k3o,3,BTN,0,9,FOLD
q3o,3,BTN,0,9,FOLD
j3o,3,BTN,0,9,FOLD
t3o,3,BTN,0,9,FOLD
93o,3,BTN,0,9,FOLD
83o,3,BTN,0,9,FOLD
73o,3,BTN,0,9,FOLD
63o,3,BTN,0,9,FOLD
53o,3,BTN,0,9,FOLD
43o,3,BTN,0,9,FOLD
33,3,BTN,0,9,ALLIN
32s,3,BTN,0,9,FOLD
a2o,3,BTN,0,9,ALLIN
k2o,3,BTN,0,9,FOLD
q2o,3,BTN,0,9,FOLD
j2o,3,BTN,0,9,FOLD
t2o,3,BTN,0,9,FOLD
92o,3,BTN,0,9,FOLD
82o,3,BTN,0,9,FOLD
72o,3,BTN,0,9,FOLD
62o,3,BTN,0,9,FOLD
52o,3,BTN,0,9,FOLD
42o,3,BTN,0,9,FOLD
32o,3,BTN,0,9,FOLD
22,3,BTN,0,9,ALLIN
aa,3,BTN,10,15,MINRAISEALL
aks,3,BTN,10,15,MINRAISEALL
aqs,3,BTN,10,15,MINRAISEALL
ajs,3,BTN,10,15,MINRAISEALL
ats,3,BTN,10,15,MINRAISEALL
a9s,3,BTN,10,15,ALLIN
a8s,3,BTN,10,15,ALLIN
a7s,3,BTN,10,15,ALLIN
a6s,3,BTN,10,15,ALLIN
a5s,3,BTN,10,15,ALLIN
a4s,3,BTN,10,15,ALLIN
a3s,3,BTN,10,15,ALLIN
a2s,3,BTN,10,15,ALLIN
ako,3,BTN,10,15,ALLIN
kk,3,BTN,10,15,MINRAISEALL
kqs,3,BTN,10,15,MINRAISEALL
kjs,3,BTN,10,15,MINRAISEALL
kts,3,BTN,10,15,MINRAISEALL
k9s,3,BTN,10,15,MINRAISEFOLD
k8s,3,BTN,10,15,FOLD
k7s,3,BTN,10,15,FOLD
k6s,3,BTN,10,15,FOLD
k5s,3,BTN,10,15,FOLD
k4s,3,BTN,10,15,FOLD
k3s,3,BTN,10,15,FOLD
k2s,3,BTN,10,15,FOLD
aqo,3,BTN,10,15,ALLIN
kqo,3,BTN,10,15,MINRAISEALL
qq,3,BTN,10,15,MINRAISEALL
qjs,3,BTN,10,15,MINRAISEALL
qts,3,BTN,10,15,MINRAISEFOLD
q9s,3,BTN,10,15,MINRAISEFOLD
q8s,3,BTN,10,15,FOLD
q7s,3,BTN,10,15,FOLD
q6s,3,BTN,10,15,FOLD
q5s,3,BTN,10,15,FOLD
q4s,3,BTN,10,15,FOLD
q3s,3,BTN,10,15,FOLD
q2s,3,BTN,10,15,FOLD
ajo,3,BTN,10,15,ALLIN
kjo,3,BTN,10,15,MINRAISEALL
qjo,3,BTN,10,15,MINRAISEFOLD
jj,3,BTN,10,15,MINRAISEALL
jts,3,BTN,10,15,MINRAISEFOLD
j9s,3,BTN,10,15,MINRAISEFOLD
j8s,3,BTN,10,15,FOLD
j7s,3,BTN,10,15,FOLD
j6s,3,BTN,10,15,FOLD
j5s,3,BTN,10,15,FOLD
j4s,3,BTN,10,15,FOLD
j3s,3,BTN,10,15,FOLD
j2s,3,BTN,10,15,FOLD
ato,3,BTN,10,15,ALLIN
kto,3,BTN,10,15,MINRAISEFOLD
qto,3,BTN,10,15,MINRAISEFOLD
jto,3,BTN,10,15,MINRAISEFOLD
tt,3,BTN,10,15,MINRAISEALL
t9s,3,BTN,10,15,MINRAISEFOLD
t8s,3,BTN,10,15,FOLD
t7s,3,BTN,10,15,FOLD
t6s,3,BTN,10,15,FOLD
t5s,3,BTN,10,15,FOLD
t4s,3,BTN,10,15,FOLD
t3s,3,BTN,10,15,FOLD
t2s,3,BTN,10,15,FOLD
a9o,3,BTN,10,15,ALLIN
k9o,3,BTN,10,15,FOLD
q9o,3,BTN,10,15,FOLD
j9o,3,BTN,10,15,FOLD
t9o,3,BTN,10,15,FOLD
99,3,BTN,10,15,ALLIN
98s,3,BTN,10,15,FOLD
97s,3,BTN,10,15,FOLD
96s,3,BTN,10,15,FOLD
95s,3,BTN,10,15,FOLD
94s,3,BTN,10,15,FOLD
93s,3,BTN,10,15,FOLD
92s,3,BTN,10,15,FOLD
a8o,3,BTN,10,15,ALLIN
k8o,3,BTN,10,15,FOLD
q8o,3,BTN,10,15,FOLD
j8o,3,BTN,10,15,FOLD
t8o,3,BTN,10,15,FOLD
98o,3,BTN,10,15,FOLD
88,3,BTN,10,15,ALLIN
87s,3,BTN,10,15,FOLD
86s,3,BTN,10,15,FOLD
85s,3,BTN,10,15,FOLD
84s,3,BTN,10,15,FOLD
83s,3,BTN,10,15,FOLD
82s,3,BTN,10,15,FOLD
a7o,3,BTN,10,15,ALLIN
k7o,3,BTN,10,15,FOLD
q7o,3,BTN,10,15,FOLD
j7o,3,BTN,10,15,FOLD
t7o,3,BTN,10,15,FOLD
97o,3,BTN,10,15,FOLD
87o,3,BTN,10,15,FOLD
77,3,BTN,10,15,ALLIN
76s,3,BTN,10,15,FOLD
75s,3,BTN,10,15,FOLD
74s,3,BTN,10,15,FOLD
73s,3,BTN,10,15,FOLD
72s,3,BTN,10,15,FOLD
a6o,3,BTN,10,15,FOLD
k6o,3,BTN,10,15,FOLD
q6o,3,BTN,10,15,FOLD
j6o,3,BTN,10,15,FOLD
t6o,3,BTN,10,15,FOLD
96o,3,BTN,10,15,FOLD
86o,3,BTN,10,15,FOLD
76o,3,BTN,10,15,FOLD
66,3,BTN,10,15,ALLIN
65s,3,BTN,10,15,FOLD
64s,3,BTN,10,15,FOLD
63s,3,BTN,10,15,FOLD
62s,3,BTN,10,15,FOLD
a5o,3,BTN,10,15,FOLD
k5o,3,BTN,10,15,FOLD
q5o,3,BTN,10,15,FOLD
j5o,3,BTN,10,15,FOLD
t5o,3,BTN,10,15,FOLD
95o,3,BTN,10,15,FOLD
85o,3,BTN,10,15,FOLD
75o,3,BTN,10,15,FOLD
65o,3,BTN,10,15,FOLD
55,3,BTN,10,15,ALLIN
54s,3,BTN,10,15,FOLD
53s,3,BTN,10,15,FOLD
52s,3,BTN,10,15,FOLD
a4o,3,BTN,10,15,FOLD
k4o,3,BTN,10,15,FOLD
q4o,3,BTN,10,15,FOLD
j4o,3,BTN,10,15,FOLD
t4o,3,BTN,10,15,FOLD
94o,3,BTN,10,15,FOLD
84o,3,BTN,10,15,FOLD
74o,3,BTN,10,15,FOLD
64o,3,BTN,10,15,FOLD
54o,3,BTN,10,15,FOLD
44,3,BTN,10,15,ALLIN
43s,3,BTN,10,15,FOLD
42s,3,BTN,10,15,FOLD
a3o,3,BTN,10,15,FOLD
k3o,3,BTN,10,15,FOLD
q3o,3,BTN,10,15,FOLD
j3o,3,BTN,10,15,FOLD
t3o,3,BTN,10,15,FOLD
93o,3,BTN,10,15,FOLD
83o,3,BTN,10,15,FOLD
73o,3,BTN,10,15,FOLD
63o,3,BTN,10,15,FOLD
53o,3,BTN,10,15,FOLD
43o,3,BTN,10,15,FOLD
33,3,BTN,10,15,ALLIN
32s,3,BTN,10,15,FOLD
a2o,3,BTN,10,15,FOLD
k2o,3,BTN,10,15,FOLD
q2o,3,BTN,10,15,FOLD
j2o,3,BTN,10,15,FOLD
t2o,3,BTN,10,15,FOLD
92o,3,BTN,10,15,FOLD
82o,3,BTN,10,15,FOLD
72o,3,BTN,10,15,FOLD
62o,3,BTN,10,15,FOLD
52o,3,BTN,10,15,FOLD
42o,3,BTN,10,15,FOLD
32o,3,BTN,10,15,FOLD
22,3,BTN,10,15,ALLIN
aa,3,BTN,16,99,MINRAISEALL
aks,3,BTN,16,99,MINRAISEALL
aqs,3,BTN,16,99,MINRAISEALL
ajs,3,BTN,16,99,MINRAISEALL
ats,3,BTN,16,99,MINRAISEALL
a9s,3,BTN,16,99,MINRAISEALL
a8s,3,BTN,16,99,MINRAISEALL
a7s,3,BTN,16,99,MINRAISEALL
a6s,3,BTN,16,99,FOLD
a5s,3,BTN,16,99,FOLD
a4s,3,BTN,16,99,FOLD
a3s,3,BTN,16,99,FOLD
a2s,3,BTN,16,99,FOLD
ako,3,BTN,16,99,MINRAISEALL
kk,3,BTN,16,99,MINRAISEALL
kqs,3,BTN,16,99,MINRAISEALL
kjs,3,BTN,16,99,MINRAISEFOLD
kts,3,BTN,16,99,MINRAISEFOLD
k9s,3,BTN,16,99,MINRAISEFOLD
k8s,3,BTN,16,99,MINRAISEFOLD
k7s,3,BTN,16,99,FOLD
k6s,3,BTN,16,99,FOLD
k5s,3,BTN,16,99,FOLD
k4s,3,BTN,16,99,FOLD
k3s,3,BTN,16,99,FOLD
k2s,3,BTN,16,99,FOLD
aqo,3,BTN,16,99,MINRAISEALL
kqo,3,BTN,16,99,MINRAISEFOLD
qq,3,BTN,16,99,MINRAISEALL
qjs,3,BTN,16,99,MINRAISEFOLD
qts,3,BTN,16,99,MINRAISEFOLD
q9s,3,BTN,16,99,MINRAISEFOLD
q8s,3,BTN,16,99,MINRAISEFOLD
q7s,3,BTN,16,99,FOLD
q6s,3,BTN,16,99,FOLD
q5s,3,BTN,16,99,FOLD
q4s,3,BTN,16,99,FOLD
q3s,3,BTN,16,99,FOLD
q2s,3,BTN,16,99,FOLD
ajo,3,BTN,16,99,MINRAISEALL
kjo,3,BTN,16,99,MINRAISEFOLD
qjo,3,BTN,16,99,MINRAISEFOLD
jj,3,BTN,16,99,MINRAISEALL
jts,3,BTN,16,99,MINRAISEFOLD
j9s,3,BTN,16,99,MINRAISEFOLD
j8s,3,BTN,16,99,MINRAISEFOLD
j7s,3,BTN,16,99,FOLD
j6s,3,BTN,16,99,FOLD
j5s,3,BTN,16,99,FOLD
j4s,3,BTN,16,99,FOLD
j3s,3,BTN,16,99,FOLD
j2s,3,BTN,16,99,FOLD
ato,3,BTN,16,99,MINRAISEALL
kto,3,BTN,16,99,MINRAISEFOLD
qto,3,BTN,16,99,MINRAISEFOLD
jto,3,BTN,16,99,MINRAISEFOLD
tt,3,BTN,16,99,MINRAISEALL
t9s,3,BTN,16,99,MINRAISEFOLD
t8s,3,BTN,16,99,MINRAISEFOLD
t7s,3,BTN,16,99,FOLD
t6s,3,BTN,16,99,FOLD
t5s,3,BTN,16,99,FOLD
t4s,3,BTN,16,99,FOLD
t3s,3,BTN,16,99,FOLD
t2s,3,BTN,16,99,FOLD
a9o,3,BTN,16,99,MINRAISEALL
k9o,3,BTN,16,99,FOLD
q9o,3,BTN,16,99,FOLD
j9o,3,BTN,16,99,FOLD
t9o,3,BTN,16,99,FOLD
99,3,BTN,16,99,ALLIN
98s,3,BTN,16,99,MINRAISEFOLD
97s,3,BTN,16,99,FOLD
96s,3,BTN,16,99,FOLD
95s,3,BTN,16,99,FOLD
94s,3,BTN,16,99,FOLD
93s,3,BTN,16,99,FOLD
92s,3,BTN,16,99,FOLD
a8o,3,BTN,16,99,MINRAISEALL
k8o,3,BTN,16,99,FOLD
q8o,3,BTN,16,99,FOLD
j8o,3,BTN,16,99,FOLD
t8o,3,BTN,16,99,FOLD
98o,3,BTN,16,99,FOLD
88,3,BTN,16,99,ALLIN
87s,3,BTN,16,99,FOLD
86s,3,BTN,16,99,FOLD
85s,3,BTN,16,99,FOLD
84s,3,BTN,16,99,FOLD
83s,3,BTN,16,99,FOLD
82s,3,BTN,16,99,FOLD
a7o,3,BTN,16,99,FOLD
k7o,3,BTN,16,99,FOLD
q7o,3,BTN,16,99,FOLD
j7o,3,BTN,16,99,FOLD
t7o,3,BTN,16,99,FOLD
97o,3,BTN,16,99,FOLD
87o,3,BTN,16,99,FOLD
77,3,BTN,16,99,ALLIN
76s,3,BTN,16,99,FOLD
75s,3,BTN,16,99,FOLD
74s,3,BTN,16,99,FOLD
73s,3,BTN,16,99,FOLD
72s,3,BTN,16,99,FOLD
a6o,3,BTN,16,99,FOLD
k6o,3,BTN,16,99,FOLD
q6o,3,BTN,16,99,FOLD
j6o,3,BTN,16,99,FOLD
t6o,3,BTN,16,99,FOLD
96o,3,BTN,16,99,FOLD
86o,3,BTN,16,99,FOLD
76o,3,BTN,16,99,FOLD
66,3,BTN,16,99,ALLIN
65s,3,BTN,16,99,FOLD
64s,3,BTN,16,99,FOLD
63s,3,BTN,16,99,FOLD
62s,3,BTN,16,99,FOLD
a5o,3,BTN,16,99,FOLD
k5o,3,BTN,16,99,FOLD
q5o,3,BTN,16,99,FOLD
j5o,3,BTN,16,99,FOLD
t5o,3,BTN,16,99,FOLD
95o,3,BTN,16,99,FOLD
85o,3,BTN,16,99,FOLD
75o,3,BTN,16,99,FOLD
65o,3,BTN,16,99,FOLD
55,3,BTN,16,99,ALLIN
54s,3,BTN,16,99,FOLD
53s,3,BTN,16,99,FOLD
52s,3,BTN,16,99,FOLD
a4o,3,BTN,16,99,FOLD
k4o,3,BTN,16,99,FOLD
q4o,3,BTN,16,99,FOLD
j4o,3,BTN,16,99,FOLD
t4o,3,BTN,16,99,FOLD
94o,3,BTN,16,99,FOLD
84o,3,BTN,16,99,FOLD
74o,3,BTN,16,99,FOLD
64o,3,BTN,16,99,FOLD
54o,3,BTN,16,99,FOLD
44,3,BTN,16,99,ALLIN
43s,3,BTN,16,99,FOLD
42s,3,BTN,16,99,FOLD
a3o,3,BTN,16,99,FOLD
k3o,3,BTN,16,99,FOLD
q3o,3,BTN,16,99,FOLD
j3o,3,BTN,16,99,FOLD
t3o,3,BTN,16,99,FOLD
93o,3,BTN,16,99,FOLD
83o,3,BTN,16,99,FOLD
73o,3,BTN,16,99,FOLD
63o,3,BTN,16,99,FOLD
53o,3,BTN,16,99,FOLD
43o,3,BTN,16,99,FOLD
33,3,BTN,16,99,FOLD
32s,3,BTN,16,99,FOLD
a2o,3,BTN,16,99,FOLD
k2o,3,BTN,16,99,FOLD
q2o,3,BTN,16,99,FOLD
j2o,3,BTN,16,99,FOLD
t2o,3,BTN,16,99,FOLD
92o,3,BTN,16,99,FOLD
82o,3,BTN,16,99,FOLD
72o,3,BTN,16,99,FOLD
62o,3,BTN,16,99,FOLD
52o,3,BTN,16,99,FOLD
42o,3,BTN,16,99,FOLD
32o,3,BTN,16,99,FOLD
22,3,BTN,16,99,FOLD